strm,anonymized_emplid,acad_career,Anonymized_Crs_ID,crs_Campus,crs_Level,primary_section,MON,TUES,WED,THURS,FRI,SAT,SUN,Anonymized_Primary_Course_ID,Anonymized_Concurrent_Course_ID
1197,33471,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,33887,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,33932,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,34044,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,34234,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,34337,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,6777,GRAD,4091,Burnaby Campus,Graduate,1,0,0,0,0,0,0,0,4091,NULL
1197,3488,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,3792,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,4891,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,14457,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,15041,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,17213,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,18931,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,19612,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,21289,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,22986,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,26499,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,28148,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,29595,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,30085,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,30457,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,31116,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,31363,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,33740,UGRD,4092,Burnaby Campus,100,1,1,0,1,0,0,0,0,4092,NULL
1197,1657,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,2810,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,4689,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,5066,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,5589,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,5947,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,6735,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,6779,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,7325,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,8146,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,8776,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,8905,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,9363,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,9900,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,10139,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,10386,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,11302,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,11318,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,11376,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,11387,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
